common name,scientific name,extinct,forefront recs,background recs,africa,americas,asia,australasia,europe
Mindanao Pygmy Babbler ,Dasycrotapha plateni ,False,5,0,False,False,True,False,False
Visayan Pygmy Babbler ,Dasycrotapha pygmaea ,False,1,0,False,False,True,False,False
Golden-crowned Babbler ,Sterrhoptilus dennistouni ,False,1,0,False,False,True,False,False
Black-crowned Babbler ,Sterrhoptilus nigrocapitatus ,False,1,0,False,False,True,False,False
Rusty-crowned Babbler ,Sterrhoptilus capitalis ,False,1,0,False,False,True,False,False
Rufescent Darkeye ,Tephrozosterops stalkeri ,False,0,0,False,False,True,False,False
Grey-hooded White-eye ,Lophozosterops pinaiae ,False,1,0,False,False,True,False,False
Mindanao White-eye ,Lophozosterops goodfellowi ,False,1,0,False,False,True,False,False
Streak-headed White-eye ,Lophozosterops squamiceps ,False,3,0,False,False,True,True,False
Mees's White-eye ,Lophozosterops javanicus ,False,12,0,False,False,True,False,False
Cream-browed White-eye ,Lophozosterops superciliaris ,False,6,0,False,False,True,False,False
Crested White-eye ,Lophozosterops dohertyi ,False,7,0,False,False,True,False,False
Spot-breasted Heleia ,Heleia muelleri ,False,4,0,False,False,True,False,False
Thick-billed Heleia ,Heleia crassirostris ,False,10,3,False,False,True,False,False
Pygmy White-eye ,Oculocincta squamifrons ,False,9,0,False,False,True,False,False
Bare-eyed White-eye ,Woodfordia superciliosa ,False,1,0,False,False,False,False,False
Sanford's White-eye ,Woodfordia lacertosa ,False,0,0,False,False,False,False,False
Marianne White-eye ,Zosterops semiflavus ,True,0,0,False,False,False,False,False
Karthala White-eye ,Zosterops mouroniensis ,False,4,0,False,False,False,False,False
Mauritius Olive White-eye ,Zosterops chloronothos ,False,7,1,False,False,False,False,False
Reunion Olive White-eye ,Zosterops olivaceus ,False,34,39,False,False,False,False,False
Mauritius Grey White-eye ,Zosterops mauritianus ,False,35,49,False,False,False,False,False
Reunion Grey White-eye ,Zosterops borbonicus ,False,38,73,False,False,False,False,False
Mountain Blackeye ,Zosterops emiliae ,False,20,0,False,False,True,False,False
Chestnut-flanked White-eye ,Zosterops erythropleurus ,False,25,3,False,False,True,False,False
Warbling White-eye ,Zosterops japonicus ,False,155,780,False,False,True,False,False
Swinhoe's White-eye ,Zosterops simplex ,False,44,21,False,False,False,False,False
Hume's White-eye ,Zosterops auriventer ,False,19,2,False,False,False,False,False
Lowland White-eye ,Zosterops meyeni ,False,17,4,False,False,True,False,False
Indian White-eye ,Zosterops palpebrosus ,False,58,35,True,False,True,False,False
Sangkar White-eye ,Zosterops melanurus ,False,3,0,False,False,False,False,False
Sri Lanka White-eye ,Zosterops ceylonensis ,False,15,1,False,False,True,False,False
Rota White-eye ,Zosterops rotensis ,False,2,0,False,False,False,False,False
Bridled White-eye ,Zosterops conspicillatus ,False,2,3,False,False,False,False,False
Citrine White-eye ,Zosterops semperi ,False,8,2,False,False,False,False,False
Plain White-eye ,Zosterops hypolais ,False,0,0,False,False,False,False,False
Black-capped White-eye ,Zosterops atricapilla ,False,19,0,False,False,True,False,False
Everett's White-eye ,Zosterops everetti ,False,9,2,False,False,True,False,False
Yellowish White-eye ,Zosterops nigrorum ,False,5,0,False,False,True,False,False
Yellow-ringed White-eye ,Zosterops wallacei ,False,8,1,False,False,True,False,False
Javan White-eye ,Zosterops flavus ,False,3,0,False,False,True,False,False
Lemon-bellied White-eye ,Zosterops chloris ,False,16,0,False,False,True,True,False
Ashy-bellied White-eye ,Zosterops citrinella ,False,28,59,False,False,True,True,False
