Common name 	Scientific name 	Status 	No. 	No. Back
Black-tailed Nativehen 	Tribonyx ventralis 		1 	0
Tasmanian Nativehen 	Tribonyx mortierii 		13 	2
Eurasian Coot 	Fulica atra 		933 	1170
Sarus Crane 	Antigone antigone 		22 	0
Brolga 	Antigone rubicunda 		14 	5
Red-backed Buttonquail 	Turnix maculosus 		2 	0
Barred Buttonquail 	Turnix suscitator 		9 	0
Black-breasted Buttonquail 	Turnix melanogaster 		0 	0
Chestnut-backed Buttonquail 	Turnix castanotus 		2 	0
Buff-breasted Buttonquail 	Turnix olivii 		0 	0
Painted Buttonquail 	Turnix varius 		3 	2
Red-chested Buttonquail 	Turnix pyrrhothorax 		0 	0
Little Buttonquail 	Turnix velox 		3 	0
Bush Stone-curlew 	Burhinus grallarius 		19 	1
Beach Stone-curlew 	Esacus magnirostris 		17 	0
South Island Oystercatcher 	Haematopus finschi 		12 	1
Pied Oystercatcher 	Haematopus longirostris 		10 	1
Variable Oystercatcher 	Haematopus unicolor 		21 	2
Chatham Oystercatcher 	Haematopus chathamensis 		3 	0
Sooty Oystercatcher 	Haematopus fuliginosus 		8 	0
Pied Stilt 	Himantopus leucocephalus 		29 	7
Black Stilt 	Himantopus novaezelandiae 		7 	0
Banded Stilt 	Cladorhynchus leucocephalus 		1 	0
Red-necked Avocet 	Recurvirostra novaehollandiae 		5 	0
Grey-headed Lapwing 	Vanellus cinereus 		27 	2
Banded Lapwing 	Vanellus tricolor 		6 	0
Masked Lapwing 	Vanellus miles 		25 	25
Red-kneed Dotterel 	Erythrogonys cinctus 		2 	0
Inland Dotterel 	Peltohyas australis 		2 	0
Wrybill 	Anarhynchus frontalis 		10 	0
Pacific Golden Plover 	Pluvialis fulva 		58 	8
American Golden Plover 	Pluvialis dominica 		73 	3
Grey Plover 	Pluvialis squatarola 		222 	86
New Zealand Plover 	Charadrius obscurus 		4 	0
Common Ringed Plover 	Charadrius hiaticula 		317 	172
Semipalmated Plover 	Charadrius semipalmatus 		109 	23
Little Ringed Plover 	Charadrius dubius 		475 	84
Kentish Plover 	Charadrius alexandrinus 		152 	47
Red-capped Plover 	Charadrius ruficapillus 		6 	3
Malaysian Plover 	Charadrius peronii 		2 	0
Double-banded Plover 	Charadrius bicinctus 		14 	2
Lesser Sand Plover 	Charadrius mongolus 		34 	5
Greater Sand Plover 	Charadrius leschenaultii 		18 	0
Caspian Plover 	Charadrius asiaticus 		1 	0
Oriental Plover 	Charadrius veredus 		16 	0
Shore Dotterel 	Thinornis novaeseelandiae 		3 	0
Black-fronted Dotterel 	Elseyornis melanops 		16 	5
Greater Painted-snipe 	Rostratula benghalensis 		8 	0
Australian Painted-snipe 	Rostratula australis 		0 	0
Comb-crested Jacana 	Irediparra gallinacea 		8 	4
Pheasant-tailed Jacana 	Hydrophasianus chirurgus 		18 	0
Plains-wanderer 	Pedionomus torquatus 		1 	0
Upland Sandpiper 	Bartramia longicauda 		70 	6
