Common name 	Scientific name 	Status 	No. 	No. Back
Socotra Buzzard 	Buteo socotraensis 		0 	0
Common Buzzard 	Buteo buteo 		512 	443
Mountain Buzzard 	Buteo oreophilus 		17 	0
Archer's Buzzard 	Buteo archeri 		0 	0
Red-necked Buzzard 	Buteo auguralis 		1 	0
Madagascan Buzzard 	Buteo brachypterus 		8 	1
Augur Buzzard 	Buteo augur 		16 	1
Jackal Buzzard 	Buteo rufofuscus 		9 	1
Great Bustard 	Otis tarda 		1 	0
Arabian Bustard 	Ardeotis arabs 		1 	0
Kori Bustard 	Ardeotis kori 		5 	0
Houbara Bustard 	Chlamydotis undulata 		0 	0
Macqueen's Bustard 	Chlamydotis macqueenii 		0 	0
Ludwig's Bustard 	Neotis ludwigii 		1 	0
Denham's Bustard 	Neotis denhami 		0 	0
Heuglin's Bustard 	Neotis heuglinii 		0 	0
Nubian Bustard 	Neotis nuba 		0 	0
White-bellied Bustard 	Eupodotis senegalensis 		23 	3
Blue Korhaan 	Eupodotis caerulescens 		13 	0
Karoo Korhaan 	Eupodotis vigorsii 		25 	1
Rüppell's Korhaan 	Eupodotis rueppelii 		1 	0
Little Brown Bustard 	Eupodotis humilis 		0 	0
Savile's Bustard 	Lophotis savilei 		9 	6
Buff-crested Bustard 	Lophotis gindiana 		10 	1
Red-crested Korhaan 	Lophotis ruficrista 		21 	12
Southern Black Korhaan 	Afrotis afra 		22 	4
Northern Black Korhaan 	Afrotis afraoides 		39 	69
Black-bellied Bustard 	Lissotis melanogaster 		10 	0
Hartlaub's Bustard 	Lissotis hartlaubii 		0 	0
Little Bustard 	Tetrax tetrax 		39 	5
White-breasted Mesite 	Mesitornis variegatus 		24 	0
Brown Mesite 	Mesitornis unicolor 		12 	0
Subdesert Mesite 	Monias benschi 		2 	0
Grey-throated Rail 	Canirallus oculeus 		0 	0
Madagascan Wood Rail 	Canirallus kioloides 		11 	0
Tsingy Wood Rail 	Canirallus beankaensis 		7 	0
White-spotted Flufftail 	Sarothrura pulchra 		69 	20
Buff-spotted Flufftail 	Sarothrura elegans 		28 	1
Red-chested Flufftail 	Sarothrura rufa 		44 	6
Chestnut-headed Flufftail 	Sarothrura lugens 		0 	0
Streaky-breasted Flufftail 	Sarothrura boehmi 		3 	0
Striped Flufftail 	Sarothrura affinis 		8 	2
Madagascan Flufftail 	Sarothrura insularis 		25 	2
White-winged Flufftail 	Sarothrura ayresi 		0 	0
Slender-billed Flufftail 	Sarothrura watersi 		4 	0
African Finfoot 	Podica senegalensis 		5 	1
Nkulengu Rail 	Himantornis haematopus 		10 	0
Water Rail 	Rallus aquaticus 		961 	265
African Rail 	Rallus caerulescens 		18 	1
Madagascan Rail 	Rallus madagascariensis 		6 	0
