Common name 	Scientific name 	Status 	No. 	No. Back
Venezuelan Wood Quail 	Odontophorus columbianus 		6 	0
Black-breasted Wood Quail 	Odontophorus leucolaemus 		20 	0
Stripe-faced Wood Quail 	Odontophorus balliviani 		14 	5
Starred Wood Quail 	Odontophorus stellatus 		32 	39
Spotted Wood Quail 	Odontophorus guttatus 		41 	4
Singing Quail 	Dactylortyx thoracicus 		35 	12
Montezuma Quail 	Cyrtonyx montezumae 		72 	22
Ocellated Quail 	Cyrtonyx ocellatus 		17 	1
Tawny-faced Quail 	Rhynchortyx cinctus 		40 	12
Wild Turkey 	Meleagris gallopavo 		78 	86
Ocellated Turkey 	Meleagris ocellata 		11 	0
Ruffed Grouse 	Bonasa umbellus 		34 	16
Spruce Grouse 	Falcipennis canadensis 		22 	0
Sage Grouse 	Centrocercus urophasianus 		29 	1
Gunnison Grouse 	Centrocercus minimus 		7 	0
Dusky Grouse 	Dendragapus obscurus 		20 	0
Sooty Grouse 	Dendragapus fuliginosus 		37 	8
Sharp-tailed Grouse 	Tympanuchus phasianellus 		45 	20
Lesser Prairie Chicken 	Tympanuchus pallidicinctus 		19 	0
Greater Prairie Chicken 	Tympanuchus cupido 		37 	3
White-tailed Ptarmigan 	Lagopus leucura 		44 	1
Rock Ptarmigan 	Lagopus muta 		56 	9
Willow Ptarmigan 	Lagopus lagopus 		99 	54
Himalayan Snowcock 	Tetraogallus himalayensis 		9 	1
Chukar Partridge 	Alectoris chukar 		51 	26
Black Francolin 	Francolinus francolinus 		56 	15
Grey Partridge 	Perdix perdix 		237 	49
Red Junglefowl 	Gallus gallus 		102 	614
Common Pheasant 	Phasianus colchicus 		390 	4895
Indian Peafowl 	Pavo cristatus 		66 	56
Red-throated Loon 	Gavia stellata 		172 	25
Black-throated Loon 	Gavia arctica 		50 	10
Pacific Loon 	Gavia pacifica 		19 	2
Common Loon 	Gavia immer 		124 	32
Yellow-billed Loon 	Gavia adamsii 		5 	0
King Penguin 	Aptenodytes patagonicus 		35 	12
Emperor Penguin 	Aptenodytes forsteri 		3 	0
Gentoo Penguin 	Pygoscelis papua 		19 	4
Adelie Penguin 	Pygoscelis adeliae 		18 	0
Chinstrap Penguin 	Pygoscelis antarcticus 		15 	2
Southern Rockhopper Penguin 	Eudyptes chrysocome 		12 	2
Macaroni Penguin 	Eudyptes chrysolophus 		3 	0
Magellanic Penguin 	Spheniscus magellanicus 		11 	3
Humboldt Penguin 	Spheniscus humboldti 		2 	0
Galapagos Penguin 	Spheniscus mendiculus 		1 	0
Wilson's Storm Petrel 	Oceanites oceanicus 		3 	0
Elliot's Storm Petrel 	Oceanites gracilis 		11 	0
Grey-backed Storm Petrel 	Garrodia nereis 		0 	0
White-faced Storm Petrel 	Pelagodroma marina 		4 	0
White-bellied Storm Petrel 	Fregetta grallaria 		0 	0
Black-bellied Storm Petrel 	Fregetta tropica 		1 	0
Polynesian Storm Petrel 	Nesofregetta fuliginosa 		0 	0
Laysan Albatross 	Phoebastria immutabilis 		143 	91
Black-footed Albatross 	Phoebastria nigripes 		22 	18
Waved Albatross 	Phoebastria irrorata 		5 	2
Short-tailed Albatross 	Phoebastria albatrus 		0 	0
Wandering Albatross 	Diomedea exulans 		2 	0
Southern Royal Albatross 	Diomedea epomophora 		7 	1
Northern Royal Albatross 	Diomedea sanfordi 		1 	0
Sooty Albatross 	Phoebetria fusca 		0 	0
Light-mantled Albatross 	Phoebetria palpebrata 		5 	1
Black-browed Albatross 	Thalassarche melanophris 		17 	3
Shy Albatross 	Thalassarche cauta 		15 	1
Grey-headed Albatross 	Thalassarche chrysostoma 		0 	0
Atlantic Yellow-nosed Albatross 	Thalassarche chlororhynchos 		0 	0
Buller's Albatross 	Thalassarche bulleri 		2 	3
European Storm Petrel 	Hydrobates pelagicus 		43 	4
Least Storm Petrel 	Oceanodroma microsoma 		0 	0
Wedge-rumped Storm Petrel 	Oceanodroma tethys 		0 	0
Band-rumped Storm Petrel 	Oceanodroma castro 		17 	8
Swinhoe's Storm Petrel 	Oceanodroma monorhis 		6 	0
Leach's Storm Petrel 	Oceanodroma leucorhoa 		10 	0
Markham's Storm Petrel 	Oceanodroma markhami 		2 	0
Black Storm Petrel 	Oceanodroma melania 		0 	0
Ashy Storm Petrel 	Oceanodroma homochroa 		1 	0
Hornby's Storm Petrel 	Oceanodroma hornbyi 		3 	0
Fork-tailed Storm Petrel 	Oceanodroma furcata 		3 	0
Southern Giant Petrel 	Macronectes giganteus 		1 	1
Northern Giant Petrel 	Macronectes halli 		9 	4
Northern Fulmar 	Fulmarus glacialis 		62 	22
Southern Fulmar 	Fulmarus glacialoides 		1 	0
