Common name 	Scientific name 	Status 	No. 	No. Back
Black-headed Heron 	Ardea melanocephala 		14 	3
White-bellied Heron 	Ardea insignis 		2 	0
Great-billed Heron 	Ardea sumatrana 		10 	0
Goliath Heron 	Ardea goliath 		1 	0
Purple Heron 	Ardea purpurea 		106 	37
Great Egret 	Ardea alba 		240 	69
Pied Heron 	Egretta picata 		4 	0
White-faced Heron 	Egretta novaehollandiae 		9 	0
Little Egret 	Egretta garzetta 		247 	91
Western Reef Heron 	Egretta gularis 		16 	10
Pacific Reef Heron 	Egretta sacra 		7 	0
Chinese Egret 	Egretta eulophotes 		0 	0
Hamerkop 	Scopus umbretta 		30 	5
Great White Pelican 	Pelecanus onocrotalus 		12 	3
Pink-backed Pelican 	Pelecanus rufescens 		0 	0
Spot-billed Pelican 	Pelecanus philippensis 		4 	1
Dalmatian Pelican 	Pelecanus crispus 		2 	0
Australian Pelican 	Pelecanus conspicillatus 		6 	1
Christmas Frigatebird 	Fregata andrewsi 		3 	0
Great Frigatebird 	Fregata minor 		25 	2
Lesser Frigatebird 	Fregata ariel 		0 	0
Northern Gannet 	Morus bassanus 		68 	63
Abbott's Booby 	Papasula abbotti 		4 	0
Masked Booby 	Sula dactylatra 		29 	0
Red-footed Booby 	Sula sula 		43 	9
Brown Booby 	Sula leucogaster 		15 	1
Little Pied Cormorant 	Microcarbo melanoleucos 		1 	0
Little Cormorant 	Microcarbo niger 		4 	1
Pygmy Cormorant 	Microcarbo pygmaeus 		6 	1
Pelagic Cormorant 	Phalacrocorax pelagicus 		6 	0
Red-faced Cormorant 	Phalacrocorax urile 		4 	0
Double-crested Cormorant 	Phalacrocorax auritus 		39 	21
European Shag 	Phalacrocorax aristotelis 		12 	5
Indian Cormorant 	Phalacrocorax fuscicollis 		1 	3
Little Black Cormorant 	Phalacrocorax sulcirostris 		3 	0
Great Cormorant 	Phalacrocorax carbo 		111 	121
Japanese Cormorant 	Phalacrocorax capillatus 		4 	0
Socotra Cormorant 	Phalacrocorax nigrogularis 		0 	0
Oriental Darter 	Anhinga melanogaster 		12 	3
Australasian Darter 	Anhinga novaehollandiae 		11 	5
Western Osprey 	Pandion haliaetus 		215 	58
Eastern Osprey 	Pandion cristatus 		7 	0
Black-winged Kite 	Elanus caeruleus 		242 	18
Scissor-tailed Kite 	Chelictinia riocourii 		2 	0
Bearded Vulture 	Gypaetus barbatus 		3 	0
Egyptian Vulture 	Neophron percnopterus 		2 	0
European Honey Buzzard 	Pernis apivorus 		67 	2
Crested Honey Buzzard 	Pernis ptilorhynchus 		92 	8
Barred Honey Buzzard 	Pernis celebensis 		1 	0
Philippine Honey Buzzard 	Pernis steerei 		1 	0
Jerdon's Baza 	Aviceda jerdoni 		11 	0
Pacific Baza 	Aviceda subcristata 		19 	1
Black Baza 	Aviceda leuphotes 		5 	0
Long-tailed Honey Buzzard 	Henicopernis longicauda 		0 	0
White-rumped Vulture 	Gyps bengalensis 		2 	0
Indian Vulture 	Gyps indicus 		1 	0
Slender-billed Vulture 	Gyps tenuirostris 		0 	0
Rüppell's Vulture 	Gyps rueppelli 		6 	0
Himalayan Vulture 	Gyps himalayensis 		1 	0
Griffon Vulture 	Gyps fulvus 		55 	115
Red-headed Vulture 	Sarcogyps calvus 		0 	0
Cinereous Vulture 	Aegypius monachus 		4 	0
Lappet-faced Vulture 	Torgos tracheliotos 		0 	0
Crested Serpent Eagle 	Spilornis cheela 		162 	28
Great Nicobar Serpent Eagle 	Spilornis klossi 		0 	0
Mountain Serpent Eagle 	Spilornis kinabaluensis 		9 	0
Sulawesi Serpent Eagle 	Spilornis rufipectus 		12 	0
Philippine Serpent Eagle 	Spilornis holospilus 		17 	2
Andaman Serpent Eagle 	Spilornis elgini 		5 	3
Philippine Eagle 	Pithecophaga jefferyi 		7 	1
Short-toed Snake Eagle 	Circaetus gallicus 		46 	22
Bateleur 	Terathopius ecaudatus 		1 	0
Bat Hawk 	Macheiramphus alcinus 		8 	0
Papuan Eagle 	Harpyopsis novaeguineae 		15 	4
Changeable Hawk-Eagle 	Nisaetus cirrhatus 		70 	1
Flores Hawk-Eagle 	Nisaetus floris 		4 	0
Mountain Hawk-Eagle 	Nisaetus nipalensis 		33 	0
Legge's Hawk-Eagle 	Nisaetus kelaarti 		1 	0
Blyth's Hawk-Eagle 	Nisaetus alboniger 		16 	1
Javan Hawk-Eagle 	Nisaetus bartelsi 		5 	0
Sulawesi Hawk-Eagle 	Nisaetus lanceolatus 		12 	0
Philippine Hawk-Eagle 	Nisaetus philippensis 		1 	0
Pinsker's Hawk-Eagle 	Nisaetus pinskeri 		1 	0
Wallace's Hawk-Eagle 	Nisaetus nanus 		20 	0
Rufous-bellied Eagle 	Lophotriorchis kienerii 		4 	0
Black Eagle 	Ictinaetus malaiensis 		6 	0
Lesser Spotted Eagle 	Clanga pomarina 		49 	5
Indian Spotted Eagle 	Clanga hastata 		0 	0
Greater Spotted Eagle 	Clanga clanga 		29 	1
Booted Eagle 	Hieraaetus pennatus 		40 	28
Pygmy Eagle 	Hieraaetus weiskei 		0 	0
Tawny Eagle 	Aquila rapax 		1 	0
Steppe Eagle 	Aquila nipalensis 		8 	7
Eastern Imperial Eagle 	Aquila heliaca 		5 	0
Gurney's Eagle 	Aquila gurneyi 		1 	0
Golden Eagle 	Aquila chrysaetos 		57 	1
Wedge-tailed Eagle 	Aquila audax 		2 	0
Verreaux's Eagle 	Aquila verreauxii 		5 	0
Bonelli's Eagle 	Aquila fasciata 		10 	0
Gabar Goshawk 	Micronisus gabar 		18 	5
Dark Chanting Goshawk 	Melierax metabates 		5 	2
Chestnut-shouldered Goshawk 	Erythrotriorchis buergersi 		0 	0
Doria's Goshawk 	Megatriorchis doriae 		2 	0
Crested Goshawk 	Accipiter trivirgatus 		11 	0
Sulawesi Goshawk 	Accipiter griseiceps 		0 	0
Shikra 	Accipiter badius 		84 	7
Nicobar Sparrowhawk 	Accipiter butleri 		0 	0
Levant Sparrowhawk 	Accipiter brevipes 		3 	0
Chinese Sparrowhawk 	Accipiter soloensis 		4 	0
Spot-tailed Sparrowhawk 	Accipiter trinotatus 		22 	0
Grey Goshawk 	Accipiter novaehollandiae 		13 	0
Variable Goshawk 	Accipiter hiogaster 		44 	3
Brown Goshawk 	Accipiter fasciatus 		17 	1
Black-mantled Goshawk 	Accipiter melanochlamys 		2 	0
Moluccan Goshawk 	Accipiter henicogrammus 		11 	0
Grey-headed Goshawk 	Accipiter poliocephalus 		1 	0
Japanese Sparrowhawk 	Accipiter gularis 		28 	1
Besra 	Accipiter virgatus 		15 	3
Dwarf Sparrowhawk 	Accipiter nanus 		4 	0
Rufous-necked Sparrowhawk 	Accipiter erythrauchen 		3 	0
Collared Sparrowhawk 	Accipiter cirrocephalus 		7 	0
Vinous-breasted Sparrowhawk 	Accipiter rhodogaster 		4 	0
Eurasian Sparrowhawk 	Accipiter nisus 		105 	21
Northern Goshawk 	Accipiter gentilis 		337 	49
Meyer's Goshawk 	Accipiter meyerianus 		0 	0
Western Marsh Harrier 	Circus aeruginosus 		169 	45
Eastern Marsh Harrier 	Circus spilonotus 		22 	0
Swamp Harrier 	Circus approximans 		8 	0
Spotted Harrier 	Circus assimilis 		1 	0
Hen Harrier 	Circus cyaneus 		14 	3
Pallid Harrier 	Circus macrourus 		21 	1
Pied Harrier 	Circus melanoleucos 		1 	0
Montagu's Harrier 	Circus pygargus 		100 	4
Red Kite 	Milvus milvus 		73 	6
Black Kite 	Milvus migrans 		197 	150
Whistling Kite 	Haliastur sphenurus 		18 	14
Brahminy Kite 	Haliastur indus 		41 	8
White-bellied Sea Eagle 	Haliaeetus leucogaster 		31 	3
Pallas's Fish Eagle 	Haliaeetus leucoryphus 		6 	1
White-tailed Eagle 	Haliaeetus albicilla 		82 	21
Bald Eagle 	Haliaeetus leucocephalus 		78 	19
Steller's Sea Eagle 	Haliaeetus pelagicus 		31 	5
Lesser Fish Eagle 	Haliaeetus humilis 		9 	0
Grey-headed Fish Eagle 	Haliaeetus ichthyaetus 		18 	2
White-eyed Buzzard 	Butastur teesa 		4 	0
Rufous-winged Buzzard 	Butastur liventer 		4 	1
Grey-faced Buzzard 	Butastur indicus 		35 	1
Rough-legged Buzzard 	Buteo lagopus 		19 	3
Upland Buzzard 	Buteo hemilasius 		2 	0
Eastern Buzzard 	Buteo japonicus 		8 	2
Himalayan Buzzard 	Buteo burmanicus 		2 	0
Long-legged Buzzard 	Buteo rufinus 		18 	1
Common Buzzard 	Buteo buteo 		512 	443
Great Bustard 	Otis tarda 		1 	0
Arabian Bustard 	Ardeotis arabs 		1 	0
Great Indian Bustard 	Ardeotis nigriceps 		0 	0
Australian Bustard 	Ardeotis australis 		1 	0
